#_
#_
1989 #_styr
2021 #_endyr
2 #_nseas
6 6 #_months/season
2 # number of subseasons
7 #_spawning month
2 #_Nsexes
15 #_Nages
2 ##_N_areas
15 #_Nfleet #31 ##_Nsurveys
# Fleets
#type	timing	area	units	multiplier	name	num
2021	10	7	15719	0.093
1989	4	6	372	0.354
1990	4	6	1034	0.274
1991	4	6	2360	0.186
1992	4	6	1343	0.266
1993	4	6	994	0.406
1994	4	6	300	0.194
1995	4	6	1608	0.157
1996	4	6	401	0.203
1997	4	6	1561	0.279
1998	4	6	611	0.209
1999	4	6	912	0.343
2000	4	6	1672	0.225
2001	4	6	2044	0.255
2002	4	6	4986	0.276
2003	4	6	2460	0.224
2004	4	6	618	0.261
2005	4	6	395	0.331
2006	4	6	1085	0.339
2007	4	6	1157	0.272
2008	4	6	1468	0.265
2009	4	6	2263	0.214
2010	4	6	1173	0.423
2011	4	6	530	0.252
2012	4	6	1748	0.253
2013	4	6	648	0.292
2014	4	6	747	0.2
2015	4	6	754	0.115
2016	4	6	1024	0.236
2017	4	6	2015	0.352
2018	4	6	2537	0.227
2019	4	6	1776	0.194
2020	4	6	2005	0.175
2021	4	6	3845	0.183
1989	10	8	4241	0.103
1990	10	8	8163	0.157
1991	10	8	6172	0.125
1992	10	8	5706	0.105
1993	10	8	4029	0.151
1994	10	8	5552	0.134
1995	10	8	10081	0.128
1996	10	8	5676	0.157
1997	10	8	6518	0.117
1998	10	8	5884	0.105
1999	10	8	8913	0.12
2000	10	8	16424	0.107
2001	10	8	12570	0.086
2002	10	8	10159	0.087
2003	10	8	9507	0.093
2004	10	8	8365	0.169
2005	10	8	8257	0.128
2006	10	8	7359	0.134
2007	10	8	7381	0.118
2008	10	8	15215	0.186
2009	10	8	11510	0.137
2010	10	8	15176	0.31
2011	10	8	6767	0.144
2012	10	8	13681	0.147
2013	10	8	10900	0.142
2014	10	8	7611	0.105
2015	10	8	6322	0.181
2016	10	8	9044	0.138
2017	10	8	9699	0.145
2018	10	8	6302	0.128
2019	10	8	7663	0.137
2020	10	8	8655	0.141
2021	10	8	12920	0.158
-9999 0 0 0 0

0 #_N_meanbodywt_obs

# composition conditioners
3 # length bin method: 1=use databins; 2=generate from binwidth,min,max below; 3=read vector
28 #_N_LengthBins
2  4  6  8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 52 58 64 70
1 #_use_length_comp_data

#_mintailcomp: upper and lower distribution for females and males separately are accumulated until exceeding this level.
#_addtocomp:  after accumulation of tails; this value added to all bins
#_males and females treated as combined gender below this bin number 
#_compressbins: accumulate upper tail by this number of bins; acts simultaneous with mintailcomp; set=0 for no forced accumulation
#_Comp_Error:  0=multinomial, 1=dirichlet
#_Comp_Error2:  parm number  for dirichlet
#_minsamplesize: minimum sample size; set to 1 to match 3.24, minimum value is 0.001
#_mintailcomp addtocomp combM+F CompressBins CompError ParmSelect minsamplesize
-0.0001 1e-007 0 0 0 0 1 #_North_Trawl_1
-0.0001 1e-007 0 0 0 0 1 #_South_Trawl_1
-0.0001 1e-007 0 0 0 0 1 #_North_Trawl_2
